price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
16000000.0,"Marol, Mumbai - Western Suburbs, Maharashtra",720.0,19.1173012,72.8840395,2.0,2.0,,Ready to Move,Resale,,Furnished,,,Flat,"
                    
                    
                    
                       It's a 1st floor Multistorey Apartment in a building of total 7 floors. The age of construction for this Multistorey Apartment is between 15 to 20 years.
                    
                ",22222.222222222223
50000000.0,"Worli, Mumbai - South Mumbai, Maharashtra",1140.0,19.0166667,72.8166667,2.0,2.0,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",43859.649122807015
5000000.0,"Mira road Chandresh accord ground floor OC gas line 600 sqft build  50 lakhs, Mira Bhayandar, Mumbai - Mira Road and Beyond, Maharashtra",600.0,19.2822416,72.8705704,2.0,2.0,,Ready to Move,Resale,,,,,Flat,"
",8333.333333333334
65000000.0,"tower 5 1303/4, Goregaon West, Mumbai - North Mumbai, Maharashtra",2200.0,19.1737146879106,72.8409863148874,4.0,4.0,1.0,Ready to Move,New Property,2.0,,3.0,Near Inorbit Mall,Individual House,"


                                Comes fully furnished Move in condition Comes with Haffel drawers in kitchen Onyx sinks in master bathrooms 7 burner stove 2 induction and 5 gas burners Many more features including a waterfall feature and keyless entry systemGoregaon West is an upscale locality in which lies on Western Express Highway. It is a developed area with urban characteristics. Jawahar Nagar, Prakash Nagar, Unnat Nagar, Piramal Nagar are a few nearby localities. The locality mostly has a mix of independent houses and builder floors. Some of the key projects include Kalpataru Allura, Suburbina Cooperative Housing, Crown Residencies, Prithvi Society and Suntek City.
                            
more

",29545.454545454544
29500000.0,"lbs marg, ghatkopar, Ghatkopar West, Mumbai - Central Line, Maharashtra",1250.0,19.097765,72.916827,3.0,2.0,,Ready to Move,Resale,,,,in front of r city mall,Flat,"


                                its corner flat, which r only 20 flats in entire buildings  of 600 flats. its real premium propertyKalpataru Aura CHS It is Connected to LBS marg Ghatkopar west. Amenities like, 24 hours water, Car parking, CCTV, Main gate security available in this society. Well connected Ghatkopar Railway Station And Metro Station. Disadvantages of the project there is no major Amenities No Basketball No Tennis Court.
                            
more

",23600.0
65000000.0,"Mahim West, Mumbai - Central Mumbai, Maharashtra",1650.0,19.0391515,72.8404703,5.0,4.0,,Ready to Move,Resale,,Furnished,,,Flat,"
",39393.93939393939
6800000.0,"Vasai, Mumbai - Mira Road and Beyond, Maharashtra",1200.0,19.3785922,72.8275321,3.0,2.0,,Ready to Move,Resale,,Semi-Furnished,,,Individual House,"
",5666.666666666667
14500000.0,"Malad West, Mumbai, Malad West, Mumbai - Western Suburbs, Maharashtra",1100.0,19.118953704833984,72.86405944824219,2.0,2.0,,Ready to Move,Resale,,Furnished,2.0,Near Vivanta Hospital,Individual House,"
                    
                    
                    
                       Its 2bhk full furnished  flat in malad west mumbai
                    
                ",13181.818181818182
4500000.0,"Virar, Mumbai - Mira Road and Beyond, Maharashtra",900.0,19.45405960083008,72.7688217163086,2.0,2.0,1.0,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale.it is a good location property. Please contact for more details.
                    
                ",5000.0
2800000.0,"Uniq Garden, D - 302, 3rd Floor, Opposite of Kakacha Dhaba, Haji Malang Road, Nandivali, Kalyan (E), Kalyan, Mumbai - Around Mumbai, Maharashtra",700.0,19.2406151,73.0951298,2.0,2.0,1.0,Ready to Move,Resale,1.0,Semi-Furnished,,,Flat,"


                                A 700 sq ft 2 BHK flat for sale on urgent basis. Besides main road, facing to road, Has been included in KDMC.All facilities are near.Address  - UNIQ GARDEN, D -302, 3rd Floor, Opposite of Kakacha Dhaba, Haji Malang Road, Nandivali, Kalyan (E)Just 2.5 KM from station.
                            
more

",4000.0
10000000.0,"Poonam Estate Cluster I, Mira Road, Mira Bhayandar, Maharashtra, Shanti Nagar-Mira Road, Mumbai, Maharashtra",940.0,19.2756329671536,72.8715963789124,2.0,2.0,2.0,Ready to Move,Resale,1.0,,,Near Srishti Aptt and close to main Road. Communication available 24 h,Flat,"
                    
                    
                    
                       East facing drawing, bedrooms kitchen etc. separate water tanks for two bathrooms and kitchen. Near Balaji Hotel and location very prime. Lift available. Covered parking which can accommodate bigger cards like SUVs
                    
                ",10638.297872340425
